"","subjid","reward","type","n_trials"
"1",2077,1681728,"Actual",25385
"2",2077,1804326.37989474,"Optimal",25385
"3",2077,1773626.02959374,"Rational",25385
"4",2077,1674745.52623006,"Estimated",25385
"5",2078,347648,"Actual",6130
"6",2078,444160.87558468,"Optimal",6130
"7",2078,437385.484039017,"Rational",6130
"8",2078,319171.46948882,"Estimated",6130
"9",2083,141920,"Actual",3344
"10",2083,189741.840435016,"Optimal",3344
"11",2083,189821.278395866,"Rational",3344
"12",2083,140541.115737267,"Estimated",3344
"13",2085,450144,"Actual",7138
"14",2085,474487.165965998,"Optimal",7138
"15",2085,472320.843612639,"Rational",7138
"16",2085,434585.064303214,"Estimated",7138
"17",2109,1040420,"Actual",8940
"18",2109,1378006.48836294,"Optimal",8940
"19",2109,1195803.71911134,"Rational",8940
"20",2109,1016290.42926955,"Estimated",8940
"21",2124,828820,"Actual",9523
"22",2124,1075225.60812233,"Optimal",9523
"23",2124,889022.650354829,"Rational",9523
"24",2124,758178.718665807,"Estimated",9523
"25",2143,446660,"Actual",6974
"26",2143,503977.899004971,"Optimal",6974
"27",2143,478983.430533228,"Rational",6974
"28",2143,444016.208207606,"Estimated",6974
