"","sigma","rho","reward"
"1",0.1,0.1,21765.0743575688
"2",0.2,0.1,20214.771009199
"3",0.3,0.1,18466.7678206141
"4",0.4,0.1,16799.0781004804
"5",0.5,0.1,15534.8025097026
"6",0.1,0.2,21831.9563028925
"7",0.2,0.2,20375.1688580172
"8",0.3,0.2,18724.088767068
"9",0.4,0.2,17139.6162624521
"10",0.5,0.2,15931.4364006246
"11",0.1,0.3,21889.37913983
"12",0.2,0.3,20515.4724933922
"13",0.3,0.3,18950.3259137077
"14",0.4,0.3,17442.8033522989
"15",0.5,0.3,16291.1990920827
"16",0.1,0.4,21937.7094425963
"17",0.2,0.4,20636.1171575327
"18",0.3,0.4,19145.8920892751
"19",0.4,0.4,17708.6492835918
"20",0.5,0.4,16613.2392818716
"21",0.1,0.5,21977.4299778453
"22",0.2,0.5,20737.8490833452
"23",0.3,0.5,19311.737463137
"24",0.4,0.5,17938.037170619
"25",0.5,0.5,16897.8297291273
"26",0.1,0.6,22009.1154380874
"27",0.2,0.6,20821.6708501933
"28",0.3,0.6,19449.2680537234
"29",0.4,0.6,18132.6030948501
"30",0.5,0.6,17146.2193355942
"31",0.1,0.7,22033.4066169483
"32",0.2,0.7,20888.781072889
"33",0.3,0.7,19560.2517140556
"34",0.4,0.7,18294.5923215277
"35",0.5,0.7,17360.4459846153
"36",0.1,0.8,22050.984756635
"37",0.2,0.8,20940.5134090021
"38",0.3,0.8,19646.7201545986
"39",0.4,0.8,18426.7047051376
"40",0.5,0.8,17543.1305455989
"41",0.1,0.9,22062.5475094721
"42",0.2,0.9,20978.2789849911
"43",0.3,0.9,19710.8744619043
"44",0.4,0.9,18531.9407481765
"45",0.5,0.9,17697.2709443408
"46",0.1,1,22068.7875977237
"47",0.2,1,21003.5151666673
"48",0.3,1,19754.999764931
"49",0.4,1,18613.4575111713
"50",0.5,1,17826.051789466
"51",0.1,1.1,22070.3748856111
"52",0.2,1.1,21017.6423849057
"53",0.3,1.1,19781.3926185748
"54",0.4,1.1,18674.440894731
"55",0.5,1.1,17932.6805823224
"56",0.1,1.2,22067.9422307946
"57",0.2,1.2,21022.0296638222
"58",0.3,1.2,19792.302684948
"59",0.4,1.2,18717.9982107815
"60",0.5,1.2,18020.2568278057
"61",0.1,1.3,22062.0751784221
"62",0.2,1.3,21017.9686904715
"63",0.3,1.3,19789.8886521504
"64",0.4,1.3,18747.0727396018
"65",0.5,1.3,18091.6760461613
"66",0.1,1.4,22053.3053082587
"67",0.2,1.4,21006.6557354401
"68",0.3,1.4,19776.1871646675
"69",0.4,1.4,18764.3802601876
"70",0.5,1.4,18149.5671829278
"71",0.1,1.5,22042.106850693
"72",0.2,1.5,20989.1804476225
"73",0.3,1.5,19753.0928634511
"74",0.4,1.5,18772.3663329211
"75",0.5,1.5,18196.2594323489
