"","w1","w2","x0","b","lp__","subjid","better_side_s"
"1",0.896368587924396,0.286842401194076,3.10048124083387,5.50625077348994,-3453.4442261973,2077,"Low"
"2",0.936729149369093,0.618874001752475,3.02853087259814,5.53545619690341,-2980.08961206951,2077,"None"
"3",0.921847989579572,0.584212464587344,3.00310411207229,5.57951582108956,-3258.17927571743,2077,"High"
"4",0.4542685943383,0.237354100663096,3.05459616464124,2.64386967621841,-1369.66186835273,2078,"Low"
"5",0.53146877833073,0.299350456420968,2.86590224293601,2.6308017835514,-1158.37600204341,2078,"None"
"6",0.468883670242044,0.466468679127664,2.91059124849731,2.64665054127582,-1339.1557981746,2078,"High"
"7",0.170066310650031,0.301595027806847,0.169987550602261,0.454299033598669,-649.780501387892,2083,"Low"
"8",0.510601790970657,0.367752536581083,2.5571871787176,2.11152200708948,-1066.07865098733,2083,"None"
"9",0.160121823903505,0.571866848700774,-0.0480687040134605,0.436886693865609,-540.835190671609,2083,"High"
"10",0.644451265272734,0.118124869480699,3.18358747031245,3.20843660247255,-1184.94159214196,2085,"Low"
"11",0.73317810079652,0.221377192125356,3.10607012255903,3.19708267510785,-1115.36332363547,2085,"None"
"12",0.732535435463488,0.78474202321415,2.9229809246834,3.78475697269267,-1453.55761728955,2085,"High"
"13",0.660889119537512,0.409554084424571,2.91079459114804,3.02359834512434,-1723.40267702305,2109,"Low"
"14",0.649703272917495,0.643926268454152,2.89555917240782,2.82438648918447,-2326.24043790877,2109,"None"
"15",0.650391934685516,0.829411013486141,2.88829987182367,3.04635805866981,-1706.20700538166,2109,"High"
"16",0.73108652907494,0.213796649518992,3.01568704431401,3.43781323257388,-1609.64653850766,2124,"Low"
"17",0.678372180172387,0.586036385692973,2.96579755549636,3.04282685232055,-2953.85974981956,2124,"None"
"18",0.789374105816158,0.756688562017928,2.91473734069961,3.48591506795981,-1565.50315407078,2124,"High"
"19",0.727490487716566,0.0484418097900328,3.04504894918312,3.6687209893962,-948.265717358478,2143,"Low"
"20",0.941056528441659,0.518333116272781,2.8954194126699,4.40494018720722,-2283.31486614386,2143,"None"
"21",0.78421149167959,0.847683166977081,2.80925887654156,3.66007105376837,-789.397492260951,2143,"High"
